"Net.Income","Class","Year","Cleaning.Supplies","Paper.Goods","Services","Total.Income","Gross.Profit","Payroll.Expenses","Total.Expense"
3512.1,1,2023,0,234.6,5502.5,5737.1,5737.1,2225,2225
19020.65,3,2023,2950.5,293.9,38352,41596.4,41596.4,22575.75,22575.75
15078.12,1,2023,1200,130,0,1330,1330,19451.88,-13748.12
14470.45,2,2023,935,0,30401.7,31336.7,31336.7,16866.25,16866.25
149855.83,2,2023,12000,0,256413.5,268413.5,268413.5,118557.67,118557.67
14717.88,4,2023,2755,99.01,37500,40354.01,40354.01,25636.13,25636.13
4291.52,1,2023,600,599.42,5400,6599.42,6599.42,2307.9,2307.9
6329.83,1,2023,1020,1150.78,7300,9470.78,9470.78,3140.95,3140.95
8929.16,1,2023,955,691.66,12585,14231.66,14231.66,5152.5,5302.5
61669.74,1,2023,5500,0,138644.97,144144.97,144144.97,86782,82475.23
4589.67,1,2023,300,0,6625,6925,6925,2335.33,2335.33
-6414.89,1,2023,0,0,0,0,0,6414.89,6414.89
21252.38,1,2023,2812.5,2044.67,41635,46492.17,46492.17,25239.79,25239.79
9004.89,1,2023,1320,1977.55,14700,17997.55,17997.55,8992.66,8992.66
3630.97,1,2023,600,358.29,5400,6358.29,6358.29,2727.32,2727.32
1271,1,2023,0,0,1327.5,1327.5,1327.5,56.5,56.5
23801.6,3,2023,750,0,46758.85,47508.85,47508.85,20657.25,23707.25
6330.4,1,2023,900,707.01,7500,9107.01,9107.01,2776.61,2776.61
210.84,1,2023,0,0,273.34,273.34,273.34,62.5,62.5
11193,1,2023,0,0,13920,13920,13920,2727,2727
12314.95,4,2023,25500,5647.66,0,31147.66,31147.66,18832.71,18832.71
8974.41,4,2023,10200,1647.69,100,11947.69,11947.69,2973.28,2973.28
67403.64,2,2023,13422.94,0,116965,130387.94,130387.94,60793.88,62984.3
12427.29,3,2023,1913.54,0,34409,36322.54,36322.54,23895.25,23895.25
1582.85,1,2022,300,440.63,4200,4940.63,4940.63,3357.78,3357.78
463.98,1,2022,67.07,396.91,0,463.98,463.98,0,0
3262.27,1,2022,600,522.36,5400,6522.36,6522.36,3260.09,3260.09
15111.8,2,2022,1670.29,145.2,36000,37815.49,37815.49,20723.69,22703.69
11955.75,3,2022,1760,0,32902.5,34662.5,34662.5,22706.75,22706.75
27322.95,3,2022,1633,6440.18,32206.27,40279.45,40279.45,12956.5,12956.5
4344,1,2022,1200,0,8400,9600,9600,5256,5256
10983.49,3,2022,1762.5,0,32877,34639.5,34639.5,23656.01,23656.01
6915.79,1,2022,1020,4459.93,13962.5,19442.43,19442.43,12526.64,12526.64
9791.48,1,2022,2400,0,35100,37500,37500,27708.52,27708.52
716,2,2022,0,0,1062.5,1062.5,1062.5,346.5,346.5
4144.28,1,2022,600,528.19,5400,6528.19,6528.19,2383.91,2383.91
7351.83,1,2022,485,1941.36,8520,10946.36,10946.36,3594.53,3594.53
2605,1,2022,600,0,3300,3900,3900,1295,1295
904.5,2,2022,0,0,1350,1350,1350,445.5,445.5
3350.25,4,2022,900,0,11280,12180,12180,8829.75,8829.75
772.98,4,2022,104.98,0,810,914.98,914.98,142,142
13638.27,1,2022,2100,1680.53,26280,30060.53,30060.53,16422.26,16422.26
2589.5,1,2022,287.5,0,2850,3137.5,3137.5,548,548
18094.9,3,2022,2502.5,0,40727.4,43229.9,43229.9,25135,25135
525,1,2022,100,0,425,525,525,0,0
800,1,2022,100,0,700,800,800,0,0
53045.53,2,2022,4015,6310.53,76495,86820.53,86820.53,33775,33775
1200,1,2022,100,0,1100,1200,1200,0,0
1526.69,4,2022,3346.44,0,22200,25546.44,25546.44,24019.75,24019.75
56364.84,2,2022,5580,26030.34,67720,99330.34,99330.34,42965.5,42965.5
780.75,2,2022,0,0,5775,5775,5775,4994.25,4994.25
88,1,2022,50,0,200,250,250,142,162
21499.48,3,2022,3132.49,0,45504.25,48636.74,48636.74,27137.26,27137.26
2710.5,4,2022,600,0,9600,10200,10200,7489.5,7489.5
27077.51,1,2022,2087.5,8812.26,38389,49288.76,49288.76,22211.25,22211.25
39948.89,2,2022,3000,3906.39,45000,51906.39,51906.39,11957.5,11957.5
87.8,1,2022,0,0,87.8,87.8,87.8,0,0
5410.5,1,2022,300,0,6865,7165,7165,1654.5,1754.5
16595.12,4,2022,3000,0,23400,26400,26400,9804.88,9804.88
4165.83,1,2022,600,238.83,5500,6338.83,6338.83,2173,2173
